,text,context,url,search_queries,relevant_sentences,contradiction,neutrality,entailment,relevance
0,Consuming a variety of fish several times a week will provide many nutrients needed for a well-balanced diet.,"Farmed Arctic char is raised mostly in onshore tanks that create less pollution than those in coastal waters. Try this easy recipe for a maple-glazed char. Consuming a variety of fish several times a week will provide many nutrients needed for a well-balanced diet. If you’re pregnant, breastfeeding, or have a health condition, check with your doctor before incorporating any fish that contains mercury. Nicole Davis is a writer based in Madison, WI, a personal trainer, and a group fitness instructor whose goal is to help women live stronger, healthier, happier lives.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[1, 11, 16, 17]","[0.0014925981, 0.002575616, 0.001039205, 0.00267251]","[0.9233052, 0.7738072, 0.96943396, 0.93446225]","[0.07520218, 0.22361721, 0.029526856, 0.06286517]",0.7878714799880981
1,Fish is a very important part of a healthy diet.,"Fears of contaminants make many unnecessarily shy away from fish. Fish is a very important part of a healthy diet. Fish and other seafood are the major sources of healthful long-chain omega-3 fats and are also rich in other nutrients such as vitamin D and selenium, high in protein, and low in saturated fat. There is strong evidence that eating fish or taking fish oil is good for the heart and blood vessels.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[0, 1, 11, 16]","[0.00097649306, 0.0011242278, 0.0012538561, 0.00057923753]","[0.99779654, 0.97146714, 0.9450574, 0.98405564]","[0.001226945, 0.02740857, 0.053688757, 0.015365132]",0.7620341181755066
2,Learn how to balance these concerns with adding a healthy amount of fish to your diet.,"Some people are concerned about mercury or other contaminants in seafood. However, the benefits of eating fish as part of a healthy diet usually outweigh the possible risks of exposure to contaminants. Learn how to balance these concerns with adding a healthy amount of fish to your diet. Omega-3 fatty acids are a type of unsaturated fatty acid that may reduce inflammation throughout the body. Inflammation in the body can damage the blood vessels and lead to heart disease and strokes.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[0, 1, 11, 16, 22]","[0.00084856886, 0.0012875869, 0.002934846, 0.0007613766, 0.0019320665]","[0.9977744, 0.9741139, 0.93185467, 0.9746903, 0.9893582]","[0.0013769844, 0.024598517, 0.06521047, 0.024548268, 0.008709715]",0.7573282122612
3,"After consulting the recommendations, you may find that you do not have to change your eating habits, you may choose to eat different types of fish or eat some species less frequently.","You can get the health benefits of eating Wisconsin's fish while reducing potential health risks from unwanted pollutants by following Wisconsin’s fish consumption guidelines. Compare the type of fish and where you caught your fish with the consumption advice. After consulting the recommendations, you may find that you do not have to change your eating habits, you may choose to eat different types of fish or eat some species less frequently. The DNR’s current fish consumption advisories are also available in Choose wisely: a health guide for eating fish in Wisconsin  [PUB-FH-824]. Use the online query tool to select the water that you'll be fishing.",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 7, 11]","[0.0022208835, 0.0013348188, 0.014300333, 0.0037364038]","[0.9084974, 0.99005216, 0.71199924, 0.9668637]","[0.08928166, 0.00861296, 0.27370042, 0.029399969]",0.7535730600357056
4,Health experts recommend that fish be included as part of a healthy diet.,"Fish contain vitamins and minerals and are the primary food source for healthy omega-3 fats. Studies suggest that omega-3 fats may be beneficial during the fetal brain and eye development, and eating modest amounts of fish containing these healthy fats may lower the risk of heart disease in adults. Health experts recommend that fish be included as part of a healthy diet. However, fish may take in pollutants from their environment and food. Mercury, PCBs, and PFAS are the contaminants of most significant concern in fish, prompting recommendations that people limit or avoid eating certain fish species from many waters throughout the nation.",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.00093808747, 0.0009530591, 0.0016802397, 0.00044259118]","[0.9976814, 0.97212774, 0.95036685, 0.9928456]","[0.0013803953, 0.026919147, 0.04795289, 0.0067118546]",0.732201099395752
5,"Overview Fish is a healthy, high-protein food, especially important for its omega-3 fatty acids, which are essential fats that our bodies don’t produce on their own.","The healthiest types of fish include those high in omega-3 fatty acids and have lower levels of mercury contamination, like Alaskan salmon. Overview Fish is a healthy, high-protein food, especially important for its omega-3 fatty acids, which are essential fats that our bodies don’t produce on their own. Omega-3 fatty acids play an essential role in brain and heart health. Omega-3s have been shown to decrease inflammation and reduce the risk of heart disease.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[0, 1, 11, 16]","[0.0012724801, 0.0013688047, 0.005979159, 0.0007779216]","[0.99773395, 0.99123085, 0.8908624, 0.9941115]","[0.0009934788, 0.007400313, 0.1031585, 0.0051106387]",0.7158262729644775
6,Learn more about health benefits                                                                                    The Dietary Guidelines for Americans recommends eating fish as part of a healthy eating pattern.,"Enlarge in PDF | En español  Supporting Materials | Translations | Education Resources for Consumers and Educators Fish provide key nutrients that support a child’s brain development. Learn which nutrients in fish support child development Eating fish can provide other health benefits too. Learn more about health benefits                                                                                    The Dietary Guidelines for Americans recommends eating fish as part of a healthy eating pattern. Learn more about Dietary Guidelines and fish Choose a variety of fish that are lower in mercury. Learn which fish are lower in mercury Fish are part of a healthy eating pattern and provide key nutrients during pregnancy, breastfeeding, and/or early childhood to support a child’s brain development: Choline also supports development of the baby’s spinal cord.",https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[0, 1, 7, 11, 16]","[0.0009917794, 0.00080646295, 0.008770292, 0.0020586886, 0.0005795517]","[0.9978218, 0.9888033, 0.8013967, 0.9334841, 0.9969675]","[0.0011863979, 0.010390188, 0.18983297, 0.06445725, 0.0024530261]",0.7104047536849976
7,The American Heart Association recommends eating fish at least two times per week as part of a healthy diet.,"Fish is filled with omega-3 fatty acids and vitamins such as D and B2 (riboflavin). Fish is rich in calcium and phosphorus and a great source of minerals, such as iron, zinc, iodine, magnesium, and potassium. The American Heart Association recommends eating fish at least two times per week as part of a healthy diet. Fish is packed with protein, vitamins, and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke. Eating fish is an important source of omega-3 fatty acids.",https://doh.wa.gov/community-and-environment/food/fish/health-benefits,"{'diet AND fish AND food', 'diet AND fish'}","[1, 16, 17]","[0.0015287873, 0.0004849279, 0.0014954386]","[0.9623431, 0.9947955, 0.98781735]","[0.036128204, 0.004719547, 0.010687261]",0.7013420462608337
8,"Fish are a lean, healthy source of protein–and the oily kinds, such as salmon, tuna, and sardines–deliver those heart- and brain-healthy omega-3 fats that you should also be getting in your diet.","Updated November 16, 2018. You probably already know that you’re supposed to be eating fish twice a week. Fish are a lean, healthy source of protein–and the oily kinds, such as salmon, tuna, and sardines–deliver those heart- and brain-healthy omega-3 fats that you should also be getting in your diet. But then there’s the concern about choosing seafood that’s sustainable. Knowing what seafood is best for your health and the environment isn’t always easy.",https://www.onemedical.com/blog/eat-well/healthy-fish-eating-guide/,{'diet AND healthiest AND fish'},"[0, 1, 8, 11, 16]","[0.00086471974, 0.0017880301, 0.7867019, 0.0020497607, 0.0014683253]","[0.9977825, 0.9316753, 0.2100898, 0.7799493, 0.965906]","[0.0013528066, 0.066536665, 0.0032083234, 0.21800098, 0.032625686]",0.6979885101318359
9,Here are 11 health benefits of eating fish that are supported by research.,"Fish is among the healthiest foods on the planet. It’s loaded with important nutrients, such as protein and vitamin D. Fish is also a great source of omega-3 fatty acids, which are incredibly important for your body and brain. Here are 11 health benefits of eating fish that are supported by research. Fish is packed with many nutrients that most people are lacking. This includes high-quality protein, iodine, and various vitamins and minerals.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0014652417, 0.0011977192, 0.0023784284, 0.0022645951]","[0.99755657, 0.9887426, 0.98670226, 0.9912177]","[0.0009782121, 0.010059641, 0.0109192515, 0.006517756]",0.6924237012863159
